config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,Quinault,12448,1044,0.5787451693475341,0.04504571958427559,0.045018019475149926,0.0015794858024723226,0.03572299611682636,0.8700670202362473
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,SourdoughGulch_WA_985,12417,906,0.30394674804534594,0.06688136413214493,0.05547468204211813,-0.037358754268610975,0.05427102938373357,0.7683159408671731
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,21,Spokane,12815,897,0.5626430149350576,0.07595666937914049,0.05339208708599846,0.05402500032182521,0.06439256713116581,0.9003785938997838
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,BeaverPass_WA_990,12423,626,0.7461246310329712,0.04590803508564445,0.0414119786173331,0.01981402817254249,0.03563672198112399,0.8968067115274528
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,CayusePass_WA,12566,1081,0.6835696967799388,0.06718294077238542,0.06554889587456458,0.01472717829223698,0.05352336585902154,0.8442592054815288
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,Darrington,12560,999,0.69263239356688,0.051798930651863556,0.042983004786021455,0.028906582576316876,0.04197201474203361,0.8989912511389369
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,Paradise_WA,12419,1067,0.7548257576294566,0.04873071821269253,0.039275729353985114,0.028846143264522478,0.03831075689031794,0.9181470998928017
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,Quinault,12448,1044,0.5808527069402614,0.04493289644365149,0.04493270117779757,0.00013246766646246236,0.035510991518182315,0.8718319282090969
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,SourdoughGulch_WA_985,12417,906,0.30464757620827676,0.06684768556815393,0.05539178361843595,-0.037421429333834196,0.054109954900562626,0.7683909243700991
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,55,Spokane,12815,897,0.5559960864416387,0.07653168558748226,0.053832791962359704,0.054397880550610976,0.06484193194630154,0.8974496327394518
